secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1859,83,119,12.2091,31.77,0,212,29.8,-5.44568704,36.21349993,0,-0.20889,-255,0,-255,0,0,0,0,0,0,0,0
1860,85,120,12.2181,32.1588,0,197,29.4,-5.44563062,36.21356682,0,-0.906346,-255,0,-255,0,0,0,0,0,0,0,0
1861,88,120,12.2271,32.472,0,180,29,-5.44557103,36.21363270,0,-1.34739,-255,0,-255,0,0,0,0,0,0,0,0
1862,89,120,12.2366,33.5988,0,198,28.6,-5.44550867,36.21370101,0,-1.51807,-255,0,-255,0,0,0,0,0,0,0,0
1863,95,120,12.2465,35.2296,0,200,28.2,-5.44544983,36.21377653,0,-1.66631,-255,0,-255,0,0,0,0,0,0,0,0
1864,83,120,12.2571,37.71,0,177,27.6,-5.44538571,36.21385683,0,-2.2318,-255,0,-255,0,0,0,0,0,0,0,0
1865,83,120,12.2682,40.2156,0,168,27,-5.44531764,36.21394099,0,-3.0257,-255,0,-255,0,0,0,0,0,0,0,0
1866,71,120,12.28,42.066,0,168,26.2,-5.44524129,36.21402749,0,-3.95493,-255,0,-255,0,0,0,0,0,0,0,0
1867,76,120,12.2928,45.1584,0,156,25,-5.44516409,36.21412346,0,-4.89907,-255,0,-255,0,0,0,0,0,0,0,0
1868,73,119,12.3057,46.1556,0,135,23.8,-5.44507071,36.21421273,0,-5.58824,-255,0,-255,0,0,0,0,0,0,0,0
1869,73,119,12.319,47.5812,0,0,22.4,-5.44496410,36.21429588,0,-6.41489,-255,0,-255,0,0,0,0,0,0,0,0
1870,73,118,12.3328,49.05,0,0,21,-5.44484239,36.21437039,0,-6.99112,-255,0,-255,0,0,0,0,0,0,0,0
1871,0,118,12.346,47.5632,0,0,19.8,-5.44472286,36.21444005,0,-7.4564,-255,0,-255,0,0,0,0,0,0,0,0
1872,0,117,12.3575,41.8788,0,0,18.8,-5.44461876,36.21449989,0,-7.9033,-255,0,-255,0,0,0,0,0,0,0,0
1873,0,117,12.3687,40.1868,0,0,17.8,-5.44453167,36.21457231,0,-8.39092,-255,0,-255,0,0,0,0,0,0,0,0
1874,0,116,12.38,40.1868,0,0,17,-5.44448297,36.21466619,0,-8.53402,-255,0,-255,0,0,0,0,0,0,0,0
1875,0,114,12.3922,43.5096,0,0,16,-5.44448658,36.21477675,0,-8.81254,-255,0,-255,0,0,0,0,0,0,0,0
1876,0,113,12.4051,45.5364,0,0,15.4,-5.44453075,36.21488663,0,-8.60257,-255,0,-255,0,0,0,0,0,0,0,0
1877,0,112,12.4186,47.5236,0,0,14.4,-5.44458699,36.21499987,0,-8.39698,-255,0,-255,0,0,0,0,0,0,0,0
